idUsuario,idCanción,calificación,comentario,fechaCalificación,horaCalificación
1,14,5,,18/03/2021,05:33:13
1,1,4,,11/03/2021,22:45:15
1,2,5,,24/07/2021,08:33:09
1,7,5,,23/03/2020,11:18:42
1,12,4,,10/07/2021,00:17:21
1,4,2,,25/05/2020,21:03:41
1,3,2,,07/03/2020,05:13:51
1,19,5,,18/07/2021,15:04:10
1,5,4,,15/03/2021,00:26:09
2,9,3,,25/12/2019,06:30:26
2,14,5,,20/12/2019,08:54:11
2,11,1,,28/12/2020,10:40:56
2,7,1,,24/12/2019,08:10:10
2,10,1,,27/12/2020,13:21:59
2,8,5,,26/12/2019,09:29:20
2,5,2,,20/12/2019,12:48:55
2,13,4,,26/12/2021,17:36:37
2,1,5,,26/12/2019,03:01:49
3,5,2,,28/12/2021,10:54:59
3,10,2,,17/09/2021,09:17:31
3,6,4,,18/09/2021,11:54:47
3,12,1,,14/12/2021,17:13:01
3,7,4,,27/11/2021,03:32:58
4,1,4,,29/03/2021,06:42:06
4,2,2,,11/03/2021,09:00:28
4,8,4,,22/03/2021,11:13:56
4,4,3,,20/03/2021,22:23:03
4,12,1,,21/03/2021,17:12:02
4,5,2,,28/02/2021,01:54:52
4,6,3,,17/02/2021,17:23:57
4,7,1,,13/03/2021,14:04:23
4,11,1,,10/02/2021,12:39:35
4,10,1,,14/02/2021,02:19:51
4,9,3,,10/02/2021,14:50:21
4,3,3,,26/03/2021,23:31:46
5,4,3,,30/07/2020,09:33:49
5,8,4,,09/07/2020,00:18:29
5,6,3,,24/07/2020,08:48:50
5,2,1,,13/07/2020,10:18:08
5,12,3,,08/08/2020,19:30:02
5,9,4,,05/07/2020,22:06:29
5,10,5,,17/07/2020,15:52:43
5,7,1,,23/07/2020,04:25:13
5,5,2,,09/07/2020,14:32:13
5,3,2,,07/08/2020,05:55:39
5,1,2,,04/08/2020,22:14:13
6,9,4,,30/05/2018,13:16:28
6,12,3,,14/06/2018,04:36:25
6,17,3,,18/06/2018,06:31:21
6,2,1,,03/07/2018,14:17:51
6,4,3,,27/05/2018,16:56:18
6,11,3,,11/07/2018,15:09:09
6,8,3,,05/07/2018,08:23:50
6,15,1,la letra es buena,09/06/2018,11:12:04
6,20,4,q,04/06/2018,23:02:30
6,1,1,,29/06/2018,14:55:17
7,4,3,,14/03/2017,16:18:22
7,5,1,,14/03/2017,19:57:35
7,16,3,,05/04/2017,14:05:53
7,2,2,,16/03/2017,04:31:35
7,8,3,,26/03/2017,09:42:01
7,13,1,,10/03/2017,03:25:11
7,3,2,,01/04/2017,15:34:06
7,7,2,,05/03/2017,09:06:23
7,15,1,,07/03/2017,08:57:39
7,20,1,,09/04/2017,04:51:48
7,9,1,,26/02/2017,03:48:54
7,1,1,,12/04/2017,11:44:07
7,19,2,,05/03/2017,18:12:20
7,18,4,,25/04/2017,03:02:11
7,10,1,,12/03/2017,14:03:51
7,11,4,,16/04/2017,01:46:44
7,6,2,,18/04/2017,04:48:50
8,20,3,,14/07/2020,01:45:11
8,15,5,,14/08/2020,22:48:35
8,5,1,,16/07/2020,16:22:19
8,12,5,,10/07/2020,00:28:37
8,2,5,,02/07/2020,09:20:43
8,7,2,,18/07/2020,14:36:15
8,18,1,,01/07/2020,00:59:16
8,1,5,,17/06/2020,12:32:42
8,6,1,,18/07/2020,07:53:53
8,14,5,,10/07/2020,18:45:48
8,3,1,,04/08/2020,20:00:48
8,8,4,,20/06/2020,19:24:04
8,4,3,,13/08/2020,19:21:48
8,10,3,,24/06/2020,08:50:15
8,17,1,,11/08/2020,02:38:56
8,9,2,,28/07/2020,11:02:51
8,13,2,,22/07/2020,20:07:50
8,19,1,,18/06/2020,07:32:15
9,5,3,,07/10/2020,04:15:15
9,12,4,,21/09/2020,17:40:52
9,13,3,,10/10/2020,22:50:59
9,2,5,,30/09/2020,19:50:57
9,11,5,,07/10/2020,14:01:37
9,14,3,,23/09/2020,15:00:54
9,15,2,,20/10/2020,02:29:45
9,10,3,,26/10/2020,16:07:44
9,4,2,Excelente canción,24/09/2020,22:59:28
9,1,2,,13/10/2020,01:30:43
10,17,3,,01/01/2021,09:00:32
10,15,2,,25/11/2020,13:51:52
10,20,2,,05/01/2021,02:10:30
10,18,3,,21/11/2020,20:09:10
10,19,4,,20/11/2020,10:20:23
10,13,4,,19/11/2020,13:06:47
10,2,5,,13/11/2020,01:18:41
